"","Country_clean","Taxonomic_group","Etiology","Genus_name","Organism_n","Total_N","prop"
"198","Mali","Fungus","Eumycetoma","Xenoacremonium",0,19,0
"199","Mexico","Bacteria","Actinomycetoma","Actinomadura",881,6913,0.127441053088384
"200","Mexico","Bacteria","Actinomycetoma","Nocardia",5145,6913,0.744249963836251
"201","Mexico","Bacteria","Actinomycetoma","Streptomyces",62,6913,0.00896860986547085
"202","Mexico","Fungus","Eumycetoma","Acremonium",5,6913,0.000723274989150875
"203","Mexico","Fungus","Eumycetoma","Aspergillus",1,6913,0.000144654997830175
"204","Mexico","Fungus","Eumycetoma","Cladophialophora",5,6913,0.000723274989150875
"205","Mexico","Fungus","Eumycetoma","Cladosporium",0,6913,0
"206","Mexico","Fungus","Eumycetoma","Exophiala",1,6913,0.000144654997830175
"207","Mexico","Fungus","Eumycetoma","Falcifomispora",0,6913,0
"208","Mexico","Fungus","Eumycetoma","Fusarium",10,6913,0.00144654997830175
"209","Mexico","Fungus","Eumycetoma","Madurella",66,6913,0.00954722985679155
"210","Mexico","Fungus","Eumycetoma","Medicopsis",4,6913,0.0005786199913207
"211","Mexico","Fungus","Eumycetoma","Microsporum",1,6913,0.000144654997830175
"212","Mexico","Fungus","Eumycetoma","Neoscytalidium",0,6913,0
"213","Mexico","Fungus","Eumycetoma","Nigrograna",1,6913,0.000144654997830175
"214","Mexico","Fungus","Eumycetoma","Penicillium",0,6913,0
"215","Mexico","Fungus","Eumycetoma","Phaeoacremonium",1,6913,0.000144654997830175
"216","Mexico","Fungus","Eumycetoma","Sarocladium",0,6913,0
"217","Mexico","Fungus","Eumycetoma","Scedosporium",15,6913,0.00216982496745263
"218","Mexico","Fungus","Eumycetoma","Trematosphaeria",43,6913,0.00622016490669753
"219","Mexico","Fungus","Eumycetoma","Trichophyton",0,6913,0
"220","Mexico","Fungus","Eumycetoma","Xenoacremonium",0,6913,0
"221","Morocco","Bacteria","Actinomycetoma","Actinomadura",3,12,0.25
"222","Morocco","Bacteria","Actinomycetoma","Nocardia",0,12,0
"223","Morocco","Bacteria","Actinomycetoma","Streptomyces",0,12,0
"224","Morocco","Fungus","Eumycetoma","Acremonium",0,12,0
"225","Morocco","Fungus","Eumycetoma","Aspergillus",0,12,0
"226","Morocco","Fungus","Eumycetoma","Cladophialophora",0,12,0
"227","Morocco","Fungus","Eumycetoma","Cladosporium",0,12,0
"228","Morocco","Fungus","Eumycetoma","Exophiala",0,12,0
"229","Morocco","Fungus","Eumycetoma","Falcifomispora",0,12,0
"230","Morocco","Fungus","Eumycetoma","Fusarium",0,12,0
"231","Morocco","Fungus","Eumycetoma","Madurella",3,12,0.25
"232","Morocco","Fungus","Eumycetoma","Medicopsis",0,12,0
"233","Morocco","Fungus","Eumycetoma","Microsporum",0,12,0
"234","Morocco","Fungus","Eumycetoma","Neoscytalidium",0,12,0
"235","Morocco","Fungus","Eumycetoma","Nigrograna",0,12,0
