"","ID","Study_meta","Total_N","Body_region","n","percent"
"353","ID 5784","Lopez-Martinez, Mexico, 2013",3933,"Lower_Limbs",2061,52.4027459954233
"354","ID 5784","Lopez-Martinez, Mexico, 2013",3933,"Multiple_sites",149,3.78845664886855
"355","ID 5784","Lopez-Martinez, Mexico, 2013",3933,"Trunk",675,17.162471395881
"356","ID 5784","Lopez-Martinez, Mexico, 2013",3933,"Unspecified",664,16.882786676837
"357","ID 5784","Lopez-Martinez, Mexico, 2013",3933,"Upper_Limbs",459,11.6704805491991
"358","ID 5785","Adoubryn, Côte d'Ivoire, 2008",87,"Buttocks_Groin",33,37.9310344827586
"359","ID 5785","Adoubryn, Côte d'Ivoire, 2008",87,"Face_Neck",3,3.44827586206897
"360","ID 5785","Adoubryn, Côte d'Ivoire, 2008",87,"Lower_Limbs",13,14.9425287356322
"361","ID 5785","Adoubryn, Côte d'Ivoire, 2008",87,"Multiple_sites",NA,NA
"362","ID 5785","Adoubryn, Côte d'Ivoire, 2008",87,"Trunk",4,4.59770114942529
"363","ID 5785","Adoubryn, Côte d'Ivoire, 2008",87,"Unspecified",24,27.5862068965517
"364","ID 5785","Adoubryn, Côte d'Ivoire, 2008",87,"Upper_Limbs",10,11.4942528735632
"365","ID 5797","Czechowski, United Arab Emirates, 2001",20,"Buttocks_Groin",NA,NA
"366","ID 5797","Czechowski, United Arab Emirates, 2001",20,"Face_Neck",1,5
"367","ID 5797","Czechowski, United Arab Emirates, 2001",20,"Lower_Limbs",17,85
"368","ID 5797","Czechowski, United Arab Emirates, 2001",20,"Multiple_sites",NA,NA
"369","ID 5797","Czechowski, United Arab Emirates, 2001",20,"Trunk",1,5
"370","ID 5797","Czechowski, United Arab Emirates, 2001",20,"Unspecified",NA,NA
"371","ID 5797","Czechowski, United Arab Emirates, 2001",20,"Upper_Limbs",1,5
"372","ID 770","Bocarro, India, 1893",100,"Buttocks_Groin",NA,NA
"373","ID 770","Bocarro, India, 1893",100,"Face_Neck",NA,NA
"374","ID 770","Bocarro, India, 1893",100,"Lower_Limbs",97,97
"375","ID 770","Bocarro, India, 1893",100,"Multiple_sites",NA,NA
"376","ID 770","Bocarro, India, 1893",100,"Trunk",NA,NA
"377","ID 770","Bocarro, India, 1893",100,"Unspecified",NA,NA
"378","ID 770","Bocarro, India, 1893",100,"Upper_Limbs",3,3
"379","ID 801","Aounallah, Tunisia, 2023",18,"Buttocks_Groin",1,5.55555555555556
"380","ID 801","Aounallah, Tunisia, 2023",18,"Face_Neck",1,5.55555555555556
"381","ID 801","Aounallah, Tunisia, 2023",18,"Lower_Limbs",15,83.3333333333333
"382","ID 801","Aounallah, Tunisia, 2023",18,"Multiple_sites",NA,NA
"383","ID 801","Aounallah, Tunisia, 2023",18,"Trunk",NA,NA
"384","ID 801","Aounallah, Tunisia, 2023",18,"Unspecified",NA,NA
"385","ID 801","Aounallah, Tunisia, 2023",18,"Upper_Limbs",1,5.55555555555556
"386","ID 963","Estrada-Castañón, Mexico, 2019",113,"Buttocks_Groin",19,16.8141592920354
"387","ID 963","Estrada-Castañón, Mexico, 2019",113,"Face_Neck",4,3.53982300884956
"388","ID 963","Estrada-Castañón, Mexico, 2019",113,"Lower_Limbs",45,39.8230088495575
"389","ID 963","Estrada-Castañón, Mexico, 2019",113,"Multiple_sites",NA,NA
"390","ID 963","Estrada-Castañón, Mexico, 2019",113,"Trunk",23,20.353982300885
"391","ID 963","Estrada-Castañón, Mexico, 2019",113,"Unspecified",NA,NA
"392","ID 963","Estrada-Castañón, Mexico, 2019",113,"Upper_Limbs",22,19.4690265486726
"393","ID2922",NA,54,"Buttocks_Groin",1,1.85185185185185
"394","ID2922",NA,54,"Face_Neck",NA,NA
"395","ID2922",NA,54,"Lower_Limbs",47,87.037037037037
"396","ID2922",NA,54,"Multiple_sites",NA,NA
"397","ID2922",NA,54,"Trunk",NA,NA
"398","ID2922",NA,54,"Unspecified",NA,NA
"399","ID2922",NA,54,"Upper_Limbs",6,11.1111111111111
