"","ID","Study_meta","Total_N","Body_region","n","percent"
"134","ID 3340","Sow, Senegal, 2020",193,"Buttocks_Groin",NA,NA
"135","ID 3340","Sow, Senegal, 2020",193,"Face_Neck",2,1.03626943005181
"136","ID 3340","Sow, Senegal, 2020",193,"Lower_Limbs",176,91.1917098445596
"137","ID 3340","Sow, Senegal, 2020",193,"Multiple_sites",NA,NA
"138","ID 3340","Sow, Senegal, 2020",193,"Trunk",11,5.69948186528497
"139","ID 3340","Sow, Senegal, 2020",193,"Unspecified",NA,NA
"140","ID 3340","Sow, Senegal, 2020",193,"Upper_Limbs",4,2.07253886010363
"141","ID 3423","Hashemi, Iran, 2005",62,"Buttocks_Groin",2,3.2258064516129
"142","ID 3423","Hashemi, Iran, 2005",62,"Face_Neck",NA,NA
"143","ID 3423","Hashemi, Iran, 2005",62,"Lower_Limbs",49,79.0322580645161
"144","ID 3423","Hashemi, Iran, 2005",62,"Multiple_sites",NA,NA
"145","ID 3423","Hashemi, Iran, 2005",62,"Trunk",NA,NA
"146","ID 3423","Hashemi, Iran, 2005",62,"Unspecified",NA,NA
"147","ID 3423","Hashemi, Iran, 2005",62,"Upper_Limbs",11,17.741935483871
"148","ID 3458","Padhi, India, 2010",13,"Buttocks_Groin",NA,NA
"149","ID 3458","Padhi, India, 2010",13,"Face_Neck",1,7.69230769230769
"150","ID 3458","Padhi, India, 2010",13,"Lower_Limbs",10,76.9230769230769
"151","ID 3458","Padhi, India, 2010",13,"Multiple_sites",NA,NA
"152","ID 3458","Padhi, India, 2010",13,"Trunk",2,15.3846153846154
"153","ID 3458","Padhi, India, 2010",13,"Unspecified",NA,NA
"154","ID 3458","Padhi, India, 2010",13,"Upper_Limbs",NA,NA
"155","ID 3486","Darre ́, Togo, 2018",33,"Buttocks_Groin",NA,NA
"156","ID 3486","Darre ́, Togo, 2018",33,"Face_Neck",4,12.1212121212121
"157","ID 3486","Darre ́, Togo, 2018",33,"Lower_Limbs",22,66.6666666666667
"158","ID 3486","Darre ́, Togo, 2018",33,"Multiple_sites",NA,NA
